"fecha";"Run Fondo";"serie";"tipo_rentabilidad";"rentabilidad_acumulada"
2023-01-31;"8825";B;"1M";0.002591774363082777
2023-01-31;"8825";B;"3M";0.008014553222797538
2023-01-31;"8825";B;"6M";-0.027249121989181946
2023-01-31;"8825";B;"1Y";-0.01988989233396732
2023-01-31;"8825";B;YTD;0.002707538895521555
2023-01-31;"8825";H;"1M";0.0027620523504754413
2023-01-31;"8825";H;"3M";0.00852236115479621
2023-01-31;"8825";H;"6M";-0.026268039713349123
2023-01-31;"8825";H;"1Y";-0.004236219431989374
2023-01-31;"8825";H;YTD;0.002883281651990144
2023-01-31;"8825";K;"1M";0.0031812489208642436
2023-01-31;"8825";K;"3M";0.009774307997796772
2023-01-31;"8825";K;"6M";-0.02385000354674427
2023-01-31;"8825";K;"1Y";-0.0011807745641108092
2023-01-31;"8825";K;YTD;0.00331603139834602
2023-01-31;"8825";P;"1M";0.0027618582308470696
2023-01-31;"8825";P;"3M";0.008522156179569418
2023-01-31;"8825";P;"6M";-0.026267952731116928
2023-01-31;"8825";P;"1Y";-0.00423638880281596
2023-01-31;"8825";P;YTD;0.0028831186051490043
2023-01-31;"8826";B;"1M";0.0011870052708118362
2023-01-31;"8826";B;"3M";0.020456247372100833
2023-01-31;"8826";B;"6M";-0.009952464498603986
2023-01-31;"8826";B;"1Y";-0.0001515103274604
2023-01-31;"8826";B;YTD;0.0013252923494413427
2023-01-31;"8826";H;"1M";0.0013572337190139727
2023-01-31;"8826";H;"3M";0.02097069434100196
2023-01-31;"8826";H;"6M";-0.008954113198428648
2023-01-31;"8826";H;"1Y";0.01325740760157501
2023-01-31;"8826";H;YTD;0.0015010456806188177
2023-01-31;"8826";K;"1M";0.0018080902349359995
2023-01-31;"8826";K;"3M";0.022335697858938186
2023-01-31;"8826";K;"6M";-0.0063025291932465866
2023-01-31;"8826";K;"1Y";0.016980696875479317
2023-01-31;"8826";K;YTD;0.001966468799905474
2023-01-31;"8826";P;"1M";0.0013569355183769005
2023-01-31;"8826";P;"3M";0.02097042957038986
2023-01-31;"8826";P;"6M";-0.008954312526866293
2023-01-31;"8826";P;"1Y";0.013256706107074745
2023-01-31;"8826";P;YTD;0.0015007289974182658
2023-01-31;"8845";APV;"1M";0.003444875636974043
2023-01-31;"8845";APV;"3M";0.010060869486292034
2023-01-31;"8845";APV;"6M";-0.011077042110396618
2023-01-31;"8845";APV;"1Y";0.03842562865784971
2023-01-31;"8845";APV;YTD;0.0036264557870180347
2023-01-31;"8845";G;"1M";0.0035727326219900934
2023-01-31;"8845";G;"3M";0.010442879506036284
2023-01-31;"8845";G;"6M";-0.010328880045041733
2023-01-31;"8845";G;"1Y";0.03998450723532465
2023-01-31;"8845";G;YTD;0.0037584682587661344
2023-01-31;"8911";APV;"1M";0.003615726502370409
2023-01-31;"8911";APV;"3M";0.009462548424964412
2023-01-31;"8911";APV;"6M";-0.012149199996445814
2023-01-31;"8911";APV;"1Y";0.02625262823108443
2023-01-31;"8911";APV;YTD;0.0037797060146544936
2023-01-31;"8992";APV;"1M";0.0013445731997545618
2023-01-31;"8992";APV;"3M";-0.018828012795989224
2023-01-31;"8992";APV;"6M";-0.055127166650768666
2023-01-31;"8992";APV;"1Y";-0.04052122848087425
2023-01-31;"8992";APV;YTD;0.0013638286847614811
2023-01-31;"8992";APV2;"1M";0.0018551486135356399
2023-01-31;"8992";APV2;"3M";-0.01734297943849261
2023-01-31;"8992";APV2;"6M";-0.05226444563445409
2023-01-31;"8992";APV2;"1Y";-0.034747228846449874
2023-01-31;"8992";APV2;YTD;0.001890917485064536
2023-01-31;"8992";S-APV;"1M";0.0017699779557294182
2023-01-31;"8992";S-APV;"3M";-0.01759030560198549
2023-01-31;"8992";S-APV;"6M";-0.05274196545597698
2023-01-31;"8992";S-APV;"1Y";-0.035711618426771397
2023-01-31;"8992";S-APV;YTD;0.001802969648813102
2023-01-31;"9006";APV;"1M";0.005111962350174082
2023-01-31;"9006";APV;"3M";0.018197300588254528
2023-01-31;"9006";APV;"6M";0.006330425097452963
2023-01-31;"9006";APV;"1Y";0.03954586111694902
2023-01-31;"9006";APV;YTD;0.00527693888125258
2023-01-31;"9043";B;"1M";-0.0019616952241408026
2023-01-31;"9043";B;"3M";0.0033564008430169157
2023-01-31;"9043";B;"6M";-0.02697183047412577
2023-01-31;"9043";B;"1Y";0.0026916326531227774
2023-01-31;"9043";B;YTD;-0.0018206782264541532
2023-01-31;"9043";BPLUS;"1M";-0.001410763329926179
2023-01-31;"9043";BPLUS;"3M";0.005001416938640535
2023-01-31;"9043";BPLUS;"6M";-0.023778894132482242
2023-01-31;"9043";BPLUS;"1Y";0.009229993821483262
2023-01-31;"9043";BPLUS;YTD;-0.0012518676126312966
2023-01-31;"9062";APV;"1M";0.0030177817142080787
2023-01-31;"9062";APV;"3M";0.0012923713524937153
2023-01-31;"9062";APV;"6M";-0.020813073802103177
2023-01-31;"9062";APV;"1Y";0.0413556023177557
2023-01-31;"9062";APV;YTD;0.0031204548761389894
2023-01-31;"9062";APV-AP;"1M";0.0032818951435877874
2023-01-31;"9062";APV-AP;"3M";0.002075113277769214
2023-01-31;"9062";APV-AP;"6M";-0.01928165099923851
2023-01-31;"9062";APV-AP;"1Y";0.044588844299728425
2023-01-31;"9062";APV-AP;YTD;0.003393181746269569
2023-01-31;"9190";APV;"1M";0.009776329824945362
2023-01-31;"9190";APV;"3M";0.02580460191983036
2023-01-31;"9190";APV;"6M";-0.007938310755932765
2023-01-31;"9190";APV;"1Y";0.01969825077583942
2023-01-31;"9190";APV;YTD;0.009911045618642866
2023-01-31;"9429";APV;"1M";0.009986846768861302
2023-01-31;"9429";APV;"3M";0.023698568871076908
2023-01-31;"9429";APV;"6M";-0.01146206494915547
2023-01-31;"9429";APV;"1Y";0.014548916921535593
2023-01-31;"9429";APV;YTD;0.010105362115412797
2023-01-31;"9431";APV;"1M";0.011928239124480156
2023-01-31;"9431";APV;"3M";0.007689125553732579
2023-01-31;"9431";APV;"6M";-0.030479118278901707
2023-01-31;"9431";APV;"1Y";-0.00866436068792531
2023-01-31;"9431";APV;YTD;0.011960499825890425
2023-01-31;"9577";W-APV;"1M";0.001872246804983435
2023-01-31;"9577";W-APV;"3M";-0.0018895595649819352
2023-01-31;"9577";W-APV;"6M";-0.011336711850106429
2023-01-31;"9577";W-APV;"1Y";0.03678080299078168
2023-01-31;"9577";W-APV;YTD;0.001872246804983435
2023-01-31;"9594";B;"1M";0.007242905568228375
2023-01-31;"9594";B;"3M";0.017775299250315957
2023-01-31;"9594";B;"6M";-0.014004377748330188
2023-01-31;"9594";B;"1Y";0.009627640464794363
2023-01-31;"9594";B;YTD;0.007350266769497127
2023-01-31;"9594";H;"1M";0.0074997255660136375
2023-01-31;"9594";H;"3M";0.018545580504733206
2023-01-31;"9594";H;"6M";-0.012511811699776332
2023-01-31;"9594";H;"1Y";0.012571771201331572
2023-01-31;"9594";H;YTD;0.007615344468812735
2023-01-31;"9594";K;"1M";0.00809881607087548
2023-01-31;"9594";K;"3M";0.02034408090863815
2023-01-31;"9594";K;"6M";-0.009020740037064878
2023-01-31;"9594";K;"1Y";0.019775596768614845
2023-01-31;"9594";K;YTD;0.008233845985626154
2023-01-31;"9594";P;"1M";0.007499497193479643
2023-01-31;"9594";P;"3M";0.01854543232405237
2023-01-31;"9594";P;"6M";-0.012512111750891841
2023-01-31;"9594";P;"1Y";0.012570574354578756
2023-01-31;"9594";P;YTD;0.007615099230048328
2023-01-31;"9646";APV;"1M";0.0010867157939757899
2023-01-31;"9646";APV;"3M";0.012108186343639415
2023-01-31;"9646";APV;"6M";-0.008744074580969263
2023-01-31;"9646";APV;"1Y";0.0449231378627335
2023-01-31;"9646";APV;YTD;0.0012807974875654882
2023-02-01;"8032";APV;"1M";-0.007279609727228853
2023-02-01;"8032";APV;"3M";-0.018054885063950143
2023-02-01;"8032";APV;"6M";-0.04576241511411616
2023-02-01;"8032";APV;"1Y";-0.01254451549282698
2023-02-01;"8032";APV;YTD;-0.007028426991879666
2023-02-01;"8032";D;"1M";-0.008122361453017923
2023-02-01;"8032";D;"3M";-0.020526842255598976
2023-02-01;"8032";D;"6M";-0.05056046841737316
2023-02-01;"8032";D;"1Y";-0.022369632086712055
2023-02-01;"8032";D;YTD;-0.007925735334470496
2023-02-01;"8032";E;"1M";0.0
2023-02-01;"8032";E;"3M";0.0
2023-02-01;"8032";E;"6M";0.0
2023-02-01;"8032";E;"1Y";0.0
2023-02-01;"8032";E;YTD;0.0
2023-02-01;"8032";G;"1M";-0.0072795001461162245
2023-02-01;"8032";G;"3M";-0.01805486702431902
2023-02-01;"8032";G;"6M";-0.04576217313140396
2023-02-01;"8032";G;"1Y";-0.01254408450240474
2023-02-01;"8032";G;YTD;-0.007028314238951894
2023-02-01;"8116";APV;"1M";0.0032286217942205653
2023-02-01;"8116";APV;"3M";0.028420439276998
2023-02-01;"8116";APV;"6M";0.0005130734749699
2023-02-01;"8116";APV;"1Y";0.04872848646533079
2023-02-01;"8116";APV;YTD;0.003532700572268288
2023-02-01;"8245";APV;"1M";0.0030312269778940415
2023-02-01;"8245";APV;"3M";-0.0000956929517243
2023-02-01;"8245";APV;"6M";0.0011445251085402397
2023-02-01;"8245";APV;"1Y";0.04476370919766959
2023-02-01;"8245";APV;YTD;0.0031995389270003116
2023-02-01;"8251";B;"1M";-0.009120778021711629
2023-02-01;"8251";B;"3M";0.019373015489420276
2023-02-01;"8251";B;"6M";-0.0050610234176101665
2023-02-01;"8251";B;"1Y";0.03197700344081933
2023-02-01;"8251";B;YTD;-0.008799186595141784
2023-02-01;"8251";H;"1M";-0.008952536645376097
2023-02-01;"8251";H;"3M";0.0198869386500391
2023-02-01;"8251";H;"6M";-0.004057215885244991
2023-02-01;"8251";H;"1Y";0.025221438843528343
2023-02-01;"8251";H;YTD;-0.008620030598021855
2023-02-01;"8251";K;"1M";-0.008506178704074996
2023-02-01;"8251";K;"3M";0.021250591950892295
2023-02-01;"8251";K;"6M";-0.0013924753882800234
2023-02-01;"8251";K;"1Y";0.028636252041309485
